id,user_id,sum_amount_usd,count_amount_usd,transactions_2018,transactions_2019_May,last_transaction_month,months,transaction_april,transaction_may
52,user_52,12771,235,132,103,Apr-19,1,1,0
53,user_53,32915,117,112,5,May-19,0,0,1
54,user_54,49792,484,296,188,Apr-19,1,1,0
55,user_55,35878,258,167,91,May-19,0,1,1
56,user_56,1476,36,0,36,Apr-19,1,1,0
57,user_57,1084,193,128,65,May-19,0,1,1
58,user_58,6353,64,63,1,May-19,0,0,1
59,user_59,10863,198,158,40,Apr-19,1,1,0
61,user_61,22398,881,613,268,May-19,0,1,1
62,user_62,17683,938,67,871,May-19,0,1,1
63,user_63,8489,121,78,43,Apr-19,1,1,0
64,user_64,72130,460,215,245,May-19,0,1,1
65,user_65,326,9,7,2,Feb-19,3,0,0
66,user_66,101,40,29,11,Apr-19,1,1,0
67,user_67,82,15,0,15,May-19,0,1,1
68,user_68,1525,58,15,43,May-19,0,1,1
69,user_69,761,35,20,15,May-19,0,1,1
70,user_70,5601,203,156,47,Apr-19,1,1,0
71,user_71,1223,21,20,1,Feb-19,3,0,0
72,user_72,513,5,5,0,Jan-18,16,0,0
73,user_73,1523,9,7,2,Apr-19,1,1,0
74,user_74,4047,266,184,82,May-19,0,1,1
75,user_75,3959,60,60,0,Jul-18,10,0,0
76,user_76,3092,49,49,0,Sep-18,8,0,0
78,user_78,1534,12,7,5,Jan-19,4,0,0
79,user_79,17679,372,283,89,May-19,0,1,1
80,user_80,4020,8,5,3,Feb-19,3,0,0
81,user_81,4431,32,30,2,May-19,0,0,1
82,user_82,7135,128,128,0,Sep-18,8,0,0
83,user_83,7852,85,75,10,Apr-19,1,1,0
84,user_84,77310,370,171,199,May-19,0,1,1
85,user_85,30074,295,203,92,May-19,0,1,1
86,user_86,2237,34,31,3,Apr-19,1,1,0
87,user_87,1710,17,17,0,Nov-18,6,0,0
88,user_88,25475,436,246,190,May-19,0,1,1
89,user_89,470,26,19,7,Apr-19,1,1,0
90,user_90,336,32,26,6,May-19,0,1,1
91,user_91,13208,386,19,367,May-19,0,1,1
92,user_92,1770,58,57,1,Mar-19,2,0,0
93,user_93,7192,54,54,0,Aug-18,9,0,0
94,user_94,26349,728,702,26,Feb-19,3,0,0
95,user_95,701,5,5,0,Feb-18,15,0,0
96,user_96,11064,151,108,43,May-19,0,1,1
97,user_97,658,27,24,3,Feb-19,3,0,0
98,user_98,1792,14,14,0,May-18,12,0,0
99,user_99,2074,38,38,0,Nov-18,6,0,0
100,user_100,20778,133,74,59,May-19,0,1,1
101,user_101,455,34,30,4,Apr-19,1,1,0
103,user_103,1621,58,58,0,Jul-18,10,0,0
104,user_104,4961,327,212,115,May-19,0,1,1
105,user_105,54,6,6,0,Apr-18,13,0,0
106,user_106,3760,164,153,11,Mar-19,2,0,0
107,user_107,2525,109,62,47,Apr-19,1,1,0
108,user_108,3904,269,199,70,May-19,0,1,1
109,user_109,25382,499,184,315,May-19,0,1,1
110,user_110,21331,53,42,11,Mar-19,2,0,0
111,user_111,443,30,0,30,May-19,0,1,1
112,user_112,2952,98,37,61,May-19,0,1,1
113,user_113,19561,503,212,291,May-19,0,1,1
114,user_114,10266,188,140,48,May-19,0,1,1
115,user_115,346,10,6,4,Apr-19,1,1,0
116,user_116,6898,266,197,69,May-19,0,1,1
117,user_117,1442,45,33,12,Mar-19,2,0,0
118,user_118,2766,124,88,36,May-19,0,1,1
119,user_119,23335,226,155,71,May-19,0,1,1
120,user_120,42084,2687,1879,808,May-19,0,1,1
121,user_121,1455,97,97,0,Nov-18,6,0,0
122,user_122,28758,923,743,180,May-19,0,1,1
123,user_123,2282,12,12,0,Jan-18,16,0,0
124,user_124,21997,345,193,152,May-19,0,1,1
125,user_125,2352,27,27,0,Mar-18,14,0,0
126,user_126,6418,476,300,176,May-19,0,1,1
127,user_127,6804,90,57,33,May-19,0,1,1
128,user_128,617,25,0,25,Apr-19,1,1,0
129,user_129,2444,20,20,0,Oct-18,7,0,0
130,user_130,281,16,14,2,Apr-19,1,1,0
131,user_131,129372,172,114,58,Apr-19,1,1,0
132,user_132,9823,130,129,1,Mar-19,2,0,0
133,user_133,3817,20,17,3,May-19,0,1,1
134,user_134,1516,14,14,0,Oct-18,7,0,0
135,user_135,2266,24,15,9,May-19,0,0,1
136,user_136,69481,780,542,238,May-19,0,1,1
137,user_137,1084,46,28,18,Apr-19,1,1,0
138,user_138,34,7,7,0,Feb-18,15,0,0
139,user_139,1815,97,75,22,May-19,0,1,1
140,user_140,28677,101,46,55,May-19,0,1,1
141,user_141,7994,34,22,12,May-19,0,1,1
142,user_142,16490,35,33,2,May-19,0,0,1
144,user_144,918,44,44,0,Sep-18,8,0,0
145,user_145,4389,133,84,49,May-19,0,1,1
146,user_146,16544,859,565,294,May-19,0,1,1
147,user_147,2567,10,10,0,Apr-18,13,0,0
148,user_148,3849,37,37,0,Jul-18,10,0,0
150,user_150,9605,134,25,109,Apr-19,1,1,0
153,user_153,3345,50,27,23,Mar-19,2,0,0
154,user_154,17117,114,75,39,May-19,0,0,1
155,user_155,7743,38,38,0,Sep-18,8,0,0
156,user_156,13061,422,311,111,Apr-19,1,1,0
157,user_157,48370,2437,1236,1201,May-19,0,1,1
158,user_158,503,84,62,22,Apr-19,1,1,0
159,user_159,145,8,8,0,Sep-18,8,0,0
160,user_160,5761,120,95,25,May-19,0,0,1
161,user_161,69446,834,385,449,May-19,0,1,1
162,user_162,65134,1979,950,1029,May-19,0,1,1
163,user_163,69672,1644,969,675,May-19,0,1,1
164,user_164,1059,44,35,9,May-19,0,1,1
165,user_165,157,6,6,0,May-18,12,0,0
166,user_166,12082,682,474,208,May-19,0,1,1
167,user_167,81,15,0,15,May-19,0,1,1
168,user_168,12834,342,226,116,May-19,0,1,1
169,user_169,292,7,5,2,Feb-19,3,0,0
170,user_170,215,10,9,1,Jan-19,4,0,0
171,user_171,4530,114,102,12,Mar-19,2,0,0
172,user_172,22839,730,624,106,May-19,0,1,1
173,user_173,17511,144,115,29,May-19,0,1,1
174,user_174,7585,73,38,35,May-19,0,1,1
175,user_175,19729,632,631,1,Feb-19,3,0,0
176,user_176,13666,238,134,104,May-19,0,1,1
177,user_177,1142,13,8,5,Jan-19,4,0,0
178,user_178,2416,48,42,6,May-19,0,0,1
179,user_179,5139,153,123,30,May-19,0,1,1
180,user_180,6962,74,71,3,Feb-19,3,0,0
181,user_181,22718,69,69,0,Nov-18,6,0,0
182,user_182,4609,11,11,0,Mar-18,14,0,0
183,user_183,1192,7,7,0,Feb-18,15,0,0
184,user_184,1300,84,84,0,Jun-18,11,0,0
185,user_185,50921,910,593,317,May-19,0,1,1
186,user_186,290,45,0,45,May-19,0,1,1
187,user_187,16244,428,268,160,May-19,0,1,1
188,user_188,12004,74,60,14,May-19,0,1,1
189,user_189,38654,2762,2050,712,May-19,0,1,1
190,user_190,363,17,17,0,Jul-18,10,0,0
191,user_191,23096,509,427,82,Apr-19,1,1,0
192,user_192,1363,51,50,1,Apr-19,1,1,0
193,user_193,9,2,2,0,Jun-18,11,0,0
194,user_194,279,16,4,12,Apr-19,1,1,0
195,user_195,103335,558,453,105,Apr-19,1,1,0
196,user_196,2559,189,150,39,May-19,0,1,1
197,user_197,8878,34,34,0,Jan-18,16,0,0
198,user_198,43,2,2,0,Jan-18,16,0,0
199,user_199,2520,114,78,36,Apr-19,1,1,0
200,user_200,4603,198,168,30,May-19,0,1,1
201,user_201,31,4,2,2,Apr-19,1,1,0
202,user_202,15267,311,203,108,May-19,0,1,1
203,user_203,61,7,6,1,Feb-19,3,0,0
204,user_204,414,8,4,4,May-19,0,0,1
205,user_205,2710,95,77,18,Apr-19,1,1,0
206,user_206,1392,22,1,21,May-19,0,1,1
207,user_207,12651,218,42,176,May-19,0,1,1
208,user_208,2805,28,28,0,Mar-18,14,0,0
209,user_209,5860,515,345,170,May-19,0,1,1
210,user_210,227,6,6,0,Feb-18,15,0,0
211,user_211,10680,149,141,8,Jan-19,4,0,0
212,user_212,100,2,2,0,Jan-18,16,0,0
213,user_213,6521,182,56,126,May-19,0,1,1
214,user_214,28034,95,92,3,Apr-19,1,1,0
215,user_215,19977,1190,673,517,May-19,0,1,1
216,user_216,597,9,9,0,Feb-18,15,0,0
217,user_217,3867,67,46,21,May-19,0,1,1
218,user_218,1819,37,37,0,Dec-18,5,0,0
219,user_219,22218,567,372,195,May-19,0,1,1
221,user_221,6406,212,128,84,May-19,0,1,1
222,user_222,111661,31,23,8,May-19,0,0,1
223,user_223,18031,485,415,70,Apr-19,1,1,0
224,user_224,23,6,6,0,Oct-18,7,0,0
225,user_225,18284,386,369,17,Apr-19,1,1,0
226,user_226,627,22,22,0,Oct-18,7,0,0
227,user_227,55,7,7,0,Jan-18,16,0,0
228,user_228,54,1,1,0,Jan-18,16,0,0
229,user_229,22,5,5,0,Jun-18,11,0,0
230,user_230,201,16,6,10,Apr-19,1,1,0
231,user_231,965,29,22,7,Jan-19,4,0,0
232,user_232,228,8,4,4,Apr-19,1,1,0
233,user_233,1918,75,74,1,Jan-19,4,0,0
234,user_234,36,7,2,5,Apr-19,1,1,0
235,user_235,2115,95,70,25,May-19,0,1,1
236,user_236,21953,375,269,106,May-19,0,1,1
237,user_237,12946,679,496,183,May-19,0,1,1
238,user_238,2897,66,40,26,May-19,0,1,1
239,user_239,497,6,6,0,Jan-18,16,0,0
240,user_240,20901,287,192,95,Apr-19,1,1,0
241,user_241,5068,140,120,20,May-19,0,1,1
242,user_242,3181,73,48,25,Feb-19,3,0,0
243,user_243,34745,38,30,8,Mar-19,2,0,0
244,user_244,13666,495,444,51,Jan-19,4,0,0
245,user_245,6040,146,146,0,Jul-18,10,0,0
247,user_247,365,18,1,17,Apr-19,1,1,0
248,user_248,95,7,7,0,Jan-18,16,0,0
249,user_249,4021,98,79,19,Apr-19,1,1,0
250,user_250,11383,389,248,141,May-19,0,1,1
251,user_251,30485,233,145,88,May-19,0,1,1
252,user_252,20366,65,34,31,May-19,0,1,1
253,user_253,244,22,22,0,Jun-18,11,0,0
254,user_254,3979,137,89,48,May-19,0,1,1
255,user_255,602,21,21,0,Dec-18,5,0,0
256,user_256,18,3,2,1,Apr-19,1,1,0
257,user_257,16,3,3,0,Jan-18,16,0,0
258,user_258,9,2,0,2,Apr-19,1,1,0
259,user_259,34450,352,290,62,May-19,0,1,1
260,user_260,8132,138,138,0,Oct-18,7,0,0
261,user_261,707,4,4,0,Nov-18,6,0,0
262,user_262,29352,48,48,0,Oct-18,7,0,0
264,user_264,8970,218,187,31,Apr-19,1,1,0
265,user_265,3616,62,42,20,Apr-19,1,1,0
266,user_266,5597,154,109,45,Apr-19,1,1,0
267,user_267,4031,31,30,1,Apr-19,1,1,0
269,user_269,297,13,11,2,Apr-19,1,1,0
270,user_270,100,2,2,0,Jan-18,16,0,0
271,user_271,22585,213,168,45,May-19,0,1,1
272,user_272,1164,15,9,6,Apr-19,1,1,0
273,user_273,36082,1078,757,321,May-19,0,1,1
274,user_274,11641,309,292,17,May-19,0,1,1
275,user_275,4771,55,54,1,Apr-19,1,1,0
276,user_276,86189,322,319,3,Jan-19,4,0,0
277,user_277,37380,282,170,112,May-19,0,1,1
278,user_278,53350,189,147,42,May-19,0,1,1
279,user_279,8214,96,96,0,Apr-18,13,0,0
280,user_280,30001,601,475,126,May-19,0,1,1
281,user_281,3217,42,39,3,Jan-19,4,0,0
282,user_282,54970,1435,1294,141,May-19,0,1,1
283,user_283,113,19,19,0,Feb-18,15,0,0
284,user_284,141,17,17,0,Oct-18,7,0,0
285,user_285,1604,22,1,21,May-19,0,1,1
286,user_286,2132,62,45,17,May-19,0,1,1
287,user_287,9539,155,136,19,Apr-19,1,1,0
288,user_288,2686,95,95,0,Apr-18,13,0,0
289,user_289,5849,131,120,11,May-19,0,1,1
290,user_290,3507,246,131,115,May-19,0,1,1
291,user_291,1252,25,25,0,Aug-18,9,0,0
292,user_292,3498,89,87,2,Feb-19,3,0,0
293,user_293,10201,234,123,111,May-19,0,1,1
294,user_294,18943,1054,462,592,May-19,0,1,1
295,user_295,40,5,5,0,Feb-18,15,0,0
296,user_296,19302,399,206,193,May-19,0,1,1
297,user_297,3244,107,79,28,May-19,0,1,1
298,user_298,11937,77,30,47,May-19,0,1,1
299,user_299,3243,275,188,87,May-19,0,1,1
300,user_300,2236,8,3,5,May-19,0,0,1
302,user_302,2328,104,93,11,Mar-19,2,0,0
303,user_303,20,4,4,0,Apr-18,13,0,0
304,user_304,15327,223,176,47,Mar-19,2,0,0
305,user_305,81325,112,66,46,Apr-19,1,1,0
306,user_306,95,12,12,0,Mar-18,14,0,0
307,user_307,4431,85,34,51,May-19,0,1,1
308,user_308,4035,143,94,49,May-19,0,1,1
309,user_309,313087,637,475,162,May-19,0,1,1
310,user_310,48994,322,140,182,May-19,0,1,1
311,user_311,2939,35,35,0,Mar-18,14,0,0
312,user_312,112,6,4,2,Apr-19,1,1,0
313,user_313,200834,67,63,4,Apr-19,1,1,0
314,user_314,390,7,7,0,Aug-18,9,0,0
315,user_315,2796,22,21,1,Apr-19,1,1,0
316,user_316,7154,173,140,33,May-19,0,1,1
317,user_317,31552,1776,1281,495,May-19,0,1,1
318,user_318,3671,173,155,18,May-19,0,1,1
319,user_319,2374,80,13,67,May-19,0,1,1
320,user_320,4309,64,60,4,Apr-19,1,1,0
321,user_321,422,16,2,14,Apr-19,1,1,0
322,user_322,8212,187,180,7,Apr-19,1,1,0
323,user_323,875,100,16,84,May-19,0,1,1
324,user_324,26493,199,171,28,May-19,0,1,1
325,user_325,555,28,3,25,May-19,0,1,1
326,user_326,2446,32,7,25,May-19,0,1,1
327,user_327,7814,144,121,23,Apr-19,1,1,0
328,user_328,572,14,12,2,Apr-19,1,1,0
329,user_329,297,17,17,0,Jul-18,10,0,0
330,user_330,1843,91,48,43,Apr-19,1,1,0
331,user_331,5865,54,46,8,May-19,0,0,1
332,user_332,3098,42,11,31,May-19,0,1,1
333,user_333,4486,25,18,7,Apr-19,1,1,0
334,user_334,10736,159,109,50,May-19,0,1,1
335,user_335,609,83,56,27,May-19,0,1,1
336,user_336,875,74,33,41,Apr-19,1,1,0
337,user_337,6125,176,176,0,Jul-18,10,0,0
338,user_338,10705,209,52,157,Apr-19,1,1,0
339,user_339,2185,57,57,0,Aug-18,9,0,0
340,user_340,2676,71,42,29,Mar-19,2,0,0
341,user_341,6071,216,180,36,Feb-19,3,0,0
342,user_342,57300,205,154,51,May-19,0,1,1
343,user_343,4358,154,112,42,May-19,0,1,1
344,user_344,889,18,18,0,Jun-18,11,0,0
346,user_346,916,40,22,18,May-19,0,1,1
347,user_347,12594,97,81,16,Feb-19,3,0,0
348,user_348,357,11,11,0,Oct-18,7,0,0
349,user_349,85,2,1,1,Mar-19,2,0,0
350,user_350,97,7,7,0,Mar-18,14,0,0
351,user_351,5412,268,97,171,May-19,0,1,1
352,user_352,5887,174,105,69,May-19,0,1,1
353,user_353,489,5,5,0,Jan-18,16,0,0
354,user_354,40373,997,524,473,May-19,0,1,1
355,user_355,4533,91,58,33,Mar-19,2,0,0
356,user_356,21,4,4,0,Apr-18,13,0,0
357,user_357,11776,65,60,5,Jan-19,4,0,0
358,user_358,1187,45,7,38,Mar-19,2,0,0
359,user_359,5825,85,75,10,May-19,0,0,1
360,user_360,8973,278,275,3,Mar-19,2,0,0
361,user_361,3521,88,80,8,Apr-19,1,1,0
362,user_362,203,23,6,17,May-19,0,1,1
363,user_363,57840,418,289,129,May-19,0,1,1
364,user_364,32187,78,0,78,May-19,0,1,1
366,user_366,10808,487,320,167,Apr-19,1,1,0
368,user_368,9211,89,82,7,Apr-19,1,1,0
369,user_369,2129,45,45,0,Jun-18,11,0,0
370,user_370,448,13,13,0,Sep-18,8,0,0
371,user_371,3171,41,7,34,May-19,0,1,1
372,user_372,3158,99,88,11,May-19,0,1,1
373,user_373,3236,91,41,50,Apr-19,1,1,0
374,user_374,19888,32,23,9,Apr-19,1,1,0
375,user_375,552,8,8,0,Aug-18,9,0,0
376,user_376,1801,73,73,0,Nov-18,6,0,0
377,user_377,452,73,1,72,May-19,0,1,1
378,user_378,59842,46,38,8,Feb-19,3,0,0
379,user_379,7064,96,96,0,Oct-18,7,0,0
380,user_380,152,7,7,0,Apr-18,13,0,0
381,user_381,22988,356,323,33,May-19,0,1,1
382,user_382,1273,63,58,5,Feb-19,3,0,0
383,user_383,1012,19,19,0,Oct-18,7,0,0
384,user_384,137,3,3,0,Jan-18,16,0,0
385,user_385,18896,815,566,249,May-19,0,1,1
386,user_386,1221,27,0,27,May-19,0,1,1
387,user_387,21610,545,376,169,May-19,0,1,1
388,user_388,2,2,2,0,Jan-18,16,0,0
389,user_389,4301,127,117,10,Feb-19,3,0,0
390,user_390,9501,264,223,41,Mar-19,2,0,0
391,user_391,67590,1168,664,504,May-19,0,1,1
392,user_392,725,7,7,0,May-18,12,0,0
393,user_393,1992,43,21,22,Apr-19,1,1,0
394,user_394,43,3,3,0,Jan-18,16,0,0
395,user_395,7173,471,296,175,May-19,0,1,1
396,user_396,473,27,7,20,Apr-19,1,1,0
397,user_397,2570,203,69,134,May-19,0,1,1
398,user_398,27469,267,142,125,May-19,0,1,1
399,user_399,175,23,23,0,Feb-18,15,0,0
400,user_400,4864,17,17,0,May-18,12,0,0
401,user_401,59951,372,285,87,May-19,0,1,1
403,user_403,19538,302,222,80,May-19,0,1,1
404,user_404,39304,1467,760,707,May-19,0,1,1
405,user_405,10746,198,148,50,May-19,0,1,1
406,user_406,3008,285,121,164,May-19,0,1,1
407,user_407,16,3,3,0,Mar-18,14,0,0
408,user_408,3967,158,144,14,May-19,0,0,1
409,user_409,3092,86,86,0,Dec-18,5,0,0
410,user_410,859,21,12,9,Apr-19,1,1,0
411,user_411,684,72,26,46,May-19,0,1,1
412,user_412,69909,617,350,267,May-19,0,1,1
413,user_413,2808,51,51,0,Dec-18,5,0,0
414,user_414,10221,282,138,144,May-19,0,1,1
415,user_415,36787,472,422,50,Apr-19,1,1,0
416,user_416,21,2,2,0,Mar-18,14,0,0
417,user_417,402,22,18,4,Apr-19,1,1,0
418,user_418,11453,237,175,62,Feb-19,3,0,0
419,user_419,15042,428,225,203,May-19,0,1,1
420,user_420,3985,32,10,22,Apr-19,1,1,0
421,user_421,5900,518,350,168,May-19,0,1,1
422,user_422,2452,89,55,34,May-19,0,1,1
423,user_423,35425,270,127,143,May-19,0,1,1
424,user_424,2336,73,73,0,Dec-18,5,0,0
425,user_425,2703,34,34,0,Dec-18,5,0,0
427,user_427,874,38,20,18,May-19,0,1,1
428,user_428,20260,901,487,414,May-19,0,1,1
429,user_429,13776,241,211,30,Apr-19,1,1,0
431,user_431,12895,556,391,165,May-19,0,1,1
432,user_432,1257,47,37,10,Apr-19,1,1,0
433,user_433,1387,147,146,1,Jan-19,4,0,0
434,user_434,86,7,7,0,Oct-18,7,0,0
435,user_435,104,6,6,0,Jan-18,16,0,0
436,user_436,32124,768,449,319,May-19,0,1,1
437,user_437,574,21,4,17,May-19,0,0,1
438,user_438,9012,441,293,148,May-19,0,1,1
439,user_439,1871,18,15,3,Mar-19,2,0,0
440,user_440,22093,868,298,570,May-19,0,1,1
441,user_441,9155,430,336,94,May-19,0,1,1
442,user_442,16458,592,336,256,May-19,0,1,1
443,user_443,10309,77,59,18,Apr-19,1,1,0
444,user_444,365,35,29,6,Apr-19,1,1,0
445,user_445,50,10,10,0,Aug-18,9,0,0
446,user_446,35832,162,128,34,May-19,0,1,1
448,user_448,121594,100,80,20,May-19,0,0,1
449,user_449,1410,38,36,2,May-19,0,1,1
450,user_450,67,1,1,0,Jan-18,16,0,0
451,user_451,75728,379,212,167,May-19,0,1,1
452,user_452,22,4,3,1,Apr-19,1,1,0
453,user_453,45070,414,270,144,May-19,0,1,1
454,user_454,3019,87,69,18,May-19,0,0,1
455,user_455,4071,145,94,51,May-19,0,1,1
456,user_456,16366,484,269,215,May-19,0,1,1
457,user_457,3203,114,60,54,Jan-19,4,0,0
458,user_458,3365,141,105,36,May-19,0,1,1
459,user_459,27,8,8,0,Apr-18,13,0,0
460,user_460,922,8,8,0,Jan-18,16,0,0
461,user_461,2972,50,44,6,Apr-19,1,1,0
462,user_462,2166,6,6,0,Jun-18,11,0,0
463,user_463,2556,180,142,38,Apr-19,1,1,0
464,user_464,94,29,15,14,May-19,0,1,1
465,user_465,14068,471,471,0,Nov-18,6,0,0
466,user_466,4548,108,107,1,Apr-19,1,1,0
467,user_467,5846,168,132,36,Apr-19,1,1,0
468,user_468,953,36,36,0,Oct-18,7,0,0
469,user_469,982,10,10,0,May-18,12,0,0
470,user_470,23080,158,148,10,May-19,0,1,1
471,user_471,31822,564,414,150,May-19,0,1,1
472,user_472,26960,759,426,333,May-19,0,1,1
473,user_473,2083,40,40,0,Apr-18,13,0,0
474,user_474,1251,13,9,4,Apr-19,1,1,0
475,user_475,847,35,32,3,Mar-19,2,0,0
476,user_476,824,16,16,0,Jul-18,10,0,0
478,user_478,3163,7,7,0,Feb-18,15,0,0
479,user_479,9206,167,136,31,May-19,0,1,1
480,user_480,1516,78,51,27,Feb-19,3,0,0
482,user_482,387,3,3,0,Jan-18,16,0,0
483,user_483,12357,174,139,35,Apr-19,1,1,0
484,user_484,65107,222,163,59,May-19,0,1,1
485,user_485,2254,111,55,56,Feb-19,3,0,0
486,user_486,174,7,3,4,Jan-19,4,0,0
487,user_487,565,19,9,10,Jan-19,4,0,0
488,user_488,10767,415,3,412,May-19,0,1,1
489,user_489,5687,70,70,0,Dec-18,5,0,0
490,user_490,24276,460,359,101,May-19,0,1,1
491,user_491,2137,35,21,14,Feb-19,3,0,0
492,user_492,60,3,3,0,Jan-18,16,0,0
493,user_493,4035,194,88,106,May-19,0,1,1
494,user_494,13869,478,345,133,May-19,0,1,1
495,user_495,2602,101,97,4,Apr-19,1,1,0
496,user_496,2057,81,64,17,May-19,0,1,1
497,user_497,8,4,4,0,Jan-18,16,0,0
498,user_498,11595,565,456,109,Apr-19,1,1,0
499,user_499,504,10,10,0,Jan-18,16,0,0
500,user_500,799,57,56,1,Apr-19,1,1,0
501,user_501,3080,93,70,23,Apr-19,1,1,0
502,user_502,13391,80,41,39,Apr-19,1,1,0
503,user_503,7916,619,237,382,May-19,0,1,1
504,user_504,7825,320,196,124,May-19,0,1,1
505,user_505,16649,217,215,2,Apr-19,1,1,0
506,user_506,10765,55,25,30,Apr-19,1,1,0
507,user_507,6071,136,86,50,Apr-19,1,1,0
508,user_508,2818,51,51,0,Jul-18,10,0,0
509,user_509,72186,1553,753,800,May-19,0,1,1
510,user_510,68055,529,327,202,May-19,0,1,1
511,user_511,5590,257,228,29,May-19,0,1,1
512,user_512,1486,58,57,1,Jan-19,4,0,0
513,user_513,4084,56,56,0,Aug-18,9,0,0
514,user_514,14898,210,181,29,Apr-19,1,1,0
515,user_515,103,5,5,0,Apr-18,13,0,0
516,user_516,13972,15,13,2,Mar-19,2,0,0
517,user_517,1207,41,34,7,Apr-19,1,1,0
518,user_518,8242,70,63,7,May-19,0,1,1
519,user_519,14716,360,311,49,May-19,0,1,1
520,user_520,33857,191,140,51,Apr-19,1,1,0
521,user_521,22120,735,208,527,Mar-19,2,0,0
522,user_522,12425,94,75,19,May-19,0,1,1
523,user_523,11310,113,77,36,Apr-19,1,1,0
524,user_524,18833,309,309,0,Aug-18,9,0,0
525,user_525,12165,113,113,0,Nov-18,6,0,0
526,user_526,877,17,0,17,May-19,0,1,1
527,user_527,8171,65,51,14,May-19,0,1,1
528,user_528,4303,100,100,0,Oct-18,7,0,0
529,user_529,1558,10,10,0,Sep-18,8,0,0
530,user_530,2786,69,69,0,Oct-18,7,0,0
531,user_531,304,9,9,0,Nov-18,6,0,0
532,user_532,10162,166,137,29,May-19,0,1,1
533,user_533,4343,82,61,21,May-19,0,0,1
534,user_534,32418,1544,973,571,May-19,0,1,1
535,user_535,378,21,21,0,Nov-18,6,0,0
536,user_536,16978,351,245,106,May-19,0,1,1
537,user_537,22963,239,162,77,May-19,0,1,1
538,user_538,2194,64,56,8,May-19,0,0,1
539,user_539,2430,55,36,19,Apr-19,1,1,0
540,user_540,10222,373,240,133,May-19,0,1,1
541,user_541,830,26,26,0,Oct-18,7,0,0
542,user_542,7971,396,366,30,Apr-19,1,1,0
543,user_543,6856,47,43,4,May-19,0,1,1
544,user_544,1587,87,68,19,Apr-19,1,1,0
545,user_545,208,9,9,0,Dec-18,5,0,0
546,user_546,109243,1367,924,443,May-19,0,1,1
547,user_547,7068,121,92,29,Mar-19,2,0,0
548,user_548,200,13,13,0,Feb-18,15,0,0
549,user_549,3089,45,0,45,May-19,0,1,1
550,user_550,16236,618,580,38,May-19,0,1,1
551,user_551,18012,394,234,160,May-19,0,1,1
552,user_552,484,29,22,7,Jan-19,4,0,0
553,user_553,77,9,9,0,Sep-18,8,0,0
554,user_554,6219,136,133,3,Apr-19,1,1,0
555,user_555,10664,544,418,126,May-19,0,1,1
